2023-05-30 21:58:15 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2023-05-30 21:58:15 status half-configured libpciaccess0:amd64 0.16-0ubuntu1
2023-05-30 21:58:15 status installed libpciaccess0:amd64 0.16-0ubuntu1
2023-05-30 21:58:15 configure libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2 <none>
2023-05-30 21:58:15 status unpacked libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:15 status half-configured libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:15 status installed libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:15 configure libxcb-xfixes0:amd64 1.14-2 <none>
2023-05-30 21:58:15 status unpacked libxcb-xfixes0:amd64 1.14-2
2023-05-30 21:58:15 status half-configured libxcb-xfixes0:amd64 1.14-2
2023-05-30 21:58:15 status installed libxcb-xfixes0:amd64 1.14-2
2023-05-30 21:58:15 configure libxpm4:amd64 1:3.5.12-1ubuntu0.20.04.1 <none>
2023-05-30 21:58:15 status unpacked libxpm4:amd64 1:3.5.12-1ubuntu0.20.04.1
